institutionCode	GRID	facilityName	facilityAcronym	instrumentOrServiceName	instrumentOrServiceDescription
HNHM	https://www.grid.ac/institutes/grid.424755.5	Molecular Analysis and Microscopy		Fully equipped Nikon Eclipse E600 light microscopes	
HNHM	https://www.grid.ac/institutes/grid.424755.5	Molecular Analysis and Microscopy		3101 Nikon	
HNHM	https://www.grid.ac/institutes/grid.424755.5	Molecular Analysis and Microscopy		Hitachi S-2600N (SCANNING ELECTRON MICROSCOPE)	
HNHM	https://www.grid.ac/institutes/grid.424755.5	Molecular Analysis and Microscopy		Nanodrop spectrophotometer	
HNHM	https://www.grid.ac/institutes/grid.424755.5	Molecular Analysis and Microscopy		GeneAmp thermal cycler	
HNHM	https://www.grid.ac/institutes/grid.424755.5	Molecular Analysis and Microscopy		Techne PrimeG thermal cycler	
HNHM	https://www.grid.ac/institutes/grid.424755.5	Molecular Analysis and Microscopy		Gel running and documentation system	
HNHM	https://www.grid.ac/institutes/grid.424755.5	OTHER ANALYTICAL EQUIPMENT		Facial reconstruction software	
UCPH/SNM	https://www.grid.ac/institutes/grid.507616.3	MOLECULAR LABS		HiSeq4000	
UCPH/SNM	https://www.grid.ac/institutes/grid.507616.3	MOLECULAR LABS		HiSeq2500 V	
UCPH/SNM	https://www.grid.ac/institutes/grid.507616.3	MOLECULAR LABS		MiSeq V2 and V3	
UCPH/SNM	https://www.grid.ac/institutes/grid.507616.3	Mass spectrometry labs		Thermo-Fischer Neptune Plus multicollector inductively coupled plasma mass spectrometres (MC-ICP-MS).	
UCPH/SNM	https://www.grid.ac/institutes/grid.507616.3	Mass spectrometry labs		Thermo-Fisher Triton Thermal Ionization Mass Spectrometery	
UCPH/SNM	https://www.grid.ac/institutes/grid.507616.3	Advanced Light Microscopy		Leica DM RXA	Leica DM RXA light and fluorescence microscope with DIC optics, digital image storage, digital and analog video recording with time lapse, drawing apparatus, and ImagePro+ and Leica QWIN image analysis software
UCPH/SNM	https://www.grid.ac/institutes/grid.507616.3	Advanced Light Microscopy		OLYMPUS C3030	OLYMPUS C3030 light and fluorescence microscope, with digital camera, image analysis software and video timelapse
UCPH/SNM	https://www.grid.ac/institutes/grid.507616.3	Advanced Light Microscopy		Olympus IX70	Olympus IX70 inverted microscope with DIC optics, Hoffman optics, cooling table , digital image storage, digital and analog video time recording with time lapse and ImagePro+ and Leica QWIN image analysis software
UCPH/SNM	https://www.grid.ac/institutes/grid.507616.3	Advanced Light Microscopy		Leica MZ-95 dissection microscope	Leica MZ-95 dissection microscope, digital image storage, digital and analog video recording and and ImagePro+ and Leica QWIN image analysis
SMNS	https://www.grid.ac/institutes/grid.437830.b	Optical instruments		SEM Zeiss Evo LS 15	
SMNS	https://www.grid.ac/institutes/grid.437830.b	Optical instruments		Bruker Skyscan 1272 Micro-CT	
NRM	https://www.grid.ac/institutes/grid.425591.e	NORDSIM ion microprobe laboratory (Dep. of Geosciences)		CAMECA IMS1280	High mass resolution CAMECA IMS1280 ion microprobe with Hyperion2 source
NRM	https://www.grid.ac/institutes/grid.425591.e	Vegacenter (Dep. of Geosciences)		High resolution inductively coupled plasma mass spectrometer cups	
NRM	https://www.grid.ac/institutes/grid.425591.e	Vegacenter (Dep. of Geosciences)		High resolution inductively coupled plasma mass spectrometer	
MNHN	https://www.grid.ac/institutes/grid.410350.3	Electron Microscopy and Analytical Laboratories		SEM microscope	
MNHN	https://www.grid.ac/institutes/grid.410350.3	Electron Microscopy and Analytical Laboratories		Low Vacuum Microscope	
MNHN	https://www.grid.ac/institutes/grid.410350.3	Electron Microscopy and Analytical Laboratories		MicroCT AST-RX	
MNHN	https://www.grid.ac/institutes/grid.410350.3	Mass Spectrometry and Nuclear Magnetic Resonance Laboratory		Mass Spectrometry	
MNHN	https://www.grid.ac/institutes/grid.410350.3	Mass Spectrometry and Nuclear Magnetic Resonance Laboratory		NMR	
MNHN	https://www.grid.ac/institutes/grid.410350.3	Morphometry Laboratory		Access to the Morphometric Laboratory	
MNHN	https://www.grid.ac/institutes/grid.410350.3	Geology Analytical Equipment		Multicanal Diffractometer	
MNHN	https://www.grid.ac/institutes/grid.410350.3	Geology Analytical Equipment		Electronic microprobe	
MNHN	https://www.grid.ac/institutes/grid.410350.3	Geology Analytical Equipment		Raman microprobe	
RBINS	https://www.grid.ac/institutes/grid.20478.39	Molecular Systematics Laboratory	MSL		"Equipped with 7 PCR thermocyclers, one ABI 3130 capillary sequencer, two laminar flow workbenches, two flatbed multiphor electrophoresis set-ups (e.g. for SSCP-analysis), several units for flatbed submarine agarose gel electrophoresis, digital cameras and photographic equipment for gel documentation (including UV-photography), four ultrafreezers (-80¡C), five portable liquid nitrogen dry shipping containers, etc. The unit also disposes of several PCs and Macintosh computers for data treatment. There is a specialized library and key-word driven, electronic, reprint collection with >55,000 titles, about 11,000 of which are available as PDF. Qubit Fluorometric DNA concentration measurement; Agilent Bioanalyzer for automated electrophoresis; Equipped for the generation of Restriction Site Associated DNA sequencing libraries (RADseq)."
RBINS	https://www.grid.ac/institutes/grid.20478.39	The Transmission Electron Microscopy Preparation Facility	TEM-PREP		Equipped with a Leica Ultracut Ultramicrotome and a Leica EM-KMR-2 Knifemaker. The facility is equipped with a Leica EM CPC and a Leica EM AFS2 for cryofixation, cryopreparation and freeze substitution of samples for TEM.
RBINS	https://www.grid.ac/institutes/grid.20478.39	Digitization platform		EOS DSR	1 motorized system for photography using 52 Mpx EOS DSR,  40mm, Macro 100 mm
RBINS	https://www.grid.ac/institutes/grid.20478.39	Digitization platform		Merco/XRE 120 kv microscanner	Merco/XRE 120 kv microscanner for small size objects with a resolution of 0.4 µm (Q3 2016)
NHMW	https://www.grid.ac/institutes/grid.425585.b	Facilities for Electron Microscopy		Jeol JSM 6610-LV  Scanning Electron Microscope 	
NHMW	https://www.grid.ac/institutes/grid.425585.b	Facilities for Electron Microscopy		Jeol JXA 8530-F Electron Microprobe	
NHMW	https://www.grid.ac/institutes/grid.425585.b	Department of Zoology 3		Nikon SMZ 25 stereo microscope+digital DS-Ri2 camera 	sensor 36x24mm, 16 Megapixel
NHMW	https://www.grid.ac/institutes/grid.425585.b	Department of Zoology 3		Nikon Eclipse Ni-U microscope+digital DS-Ri2 camera	sensor 36x24mm, 16 Megapixel
